video_id,title,published_at,channel_id,channel_title,duration_iso,duration_seconds,view_count,like_count,comment_count,url
rSmhOhYan2w,Singles,2017-07-03 18:48:57+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT34M42S,2082,93596,1616.0,138.0,https://www.youtube.com/watch?v=rSmhOhYan2w
a9UUIySO4iE,Sermons - Matt Chandler - The Wound and the Worry,2018-11-19 18:58:28+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT46M35S,2795,92042,1205.0,16.0,https://www.youtube.com/watch?v=a9UUIySO4iE
kOqkqs5KB9A,A Beautiful Design (Part 9) - Woman's Redemption,2014-11-12 17:42:30+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT54M40S,3280,90851,698.0,10.0,https://www.youtube.com/watch?v=kOqkqs5KB9A
Uejfnbid-5Y,A Beautiful Design (Part 5) - Man's Redemption,2014-10-07 16:20:01+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT52M26S,3146,89521,636.0,4.0,https://www.youtube.com/watch?v=Uejfnbid-5Y
4coQVJuwtMk,A Healthy Disciple,2017-08-28 16:06:09+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT52M58S,3178,89342,1073.0,22.0,https://www.youtube.com/watch?v=4coQVJuwtMk
qpeDbF3E2AM,I Am (Part 1) - I Am,2016-02-02 20:25:57+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT46M19S,2779,86385,796.0,12.0,https://www.youtube.com/watch?v=qpeDbF3E2AM
gwtMb-X9nbI,Recovering Redemption (Part 2) - The Remedy: The Gospel of Jesus Christ,2014-01-23 19:28:38+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT46M40S,2800,83619,717.0,14.0,https://www.youtube.com/watch?v=gwtMb-X9nbI
bg25e5fojrc,Roundtable: Spiritual Gifts in the Church,2019-11-12 16:20:08+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT31M31S,1891,81365,1113.0,304.0,https://www.youtube.com/watch?v=bg25e5fojrc
DMo0KyFAnBM,Revelation: Seven Seals - Week 4 - Sermons - Matt Chandler,2021-03-02 16:55:03+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT42M8S,2528,79954,855.0,71.0,https://www.youtube.com/watch?v=DMo0KyFAnBM
RT320LTQST4,I Am (Part 7) - The True Vine,2016-03-22 15:02:03+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT44M23S,2663,79243,733.0,15.0,https://www.youtube.com/watch?v=RT320LTQST4
NyMj_KU0fjE,Revelation: Cosmic Battle - Week 6 - Sermons - Matt Chandler,2021-03-15 15:09:21+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT43M4S,2584,75515,1134.0,63.0,https://www.youtube.com/watch?v=NyMj_KU0fjE
2NOjzdPkefw,A Beautiful Design (Part 2) - In His Image,2014-09-16 19:11:07+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT52M5S,3125,75356,793.0,14.0,https://www.youtube.com/watch?v=2NOjzdPkefw
dCe6zuhJVaY,Sermons - Matt Chandler - Fighting Against the Arena Culture,2019-05-13 16:24:38+00:00,UC5tzTmPEue1OMqkT9CIAP0g,The Village Church - Flower Mound,PT37M53S,2273,73062,747.0,58.0,https://www.youtube.com/watch?v=dCe6zuhJVaY
