video_id,title,published_at,channel_id,channel_title,duration_iso,duration_seconds,view_count,like_count,comment_count,url
rR3PpI9d-Mk,Ugly Trust | Pastor Steven Furtick | Elevation Church,2023-04-30 21:09:50+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H7M30S,4050,2221435,38121.0,6697.0,https://www.youtube.com/watch?v=rR3PpI9d-Mk
XmBCd4d0c7o,Devil You’ve Held Me Long Enough | Pastor Steven Furtick | Elevation Church,2022-01-10 00:00:08+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H27S,3627,2205223,55734.0,3361.0,https://www.youtube.com/watch?v=XmBCd4d0c7o
VC5HUJAnn-8,God’s Up To Something Upstream! | Pastor Steven Furtick | Elevation Church,2023-03-05 22:32:50+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H15M8S,4508,2125850,47747.0,6738.0,https://www.youtube.com/watch?v=VC5HUJAnn-8
03Fi1VHiK8I,Where Breakthrough Begins | Pastor Steven Furtick,2016-09-05 15:35:04+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT30M47S,1847,2074526,,696.0,https://www.youtube.com/watch?v=03Fi1VHiK8I
QgM-jiIfzIs,When God Says Stop | Pastor Steven Furtick | Elevation Church,2020-03-23 00:00:05+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H8M45S,4125,2071465,48604.0,21942.0,https://www.youtube.com/watch?v=QgM-jiIfzIs
-ZJBo8dVAvg,Make Room For The New | Pastor Steven Furtick | Elevation Church,2020-03-09 00:00:00+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT54M9S,3249,2070682,41548.0,2487.0,https://www.youtube.com/watch?v=-ZJBo8dVAvg
SmhH89V_1h0,"Stop Crying, It’s Coming! | Pastor Steven Furtick | Elevation Church",2021-11-07 19:30:01+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT59M,3540,2051201,44964.0,4891.0,https://www.youtube.com/watch?v=SmhH89V_1h0
ZqROe_tjjDk,Bent Knees Break Chains | Pastor Steven Furtick | Elevation Church,2022-05-16 02:00:08+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H5M34S,3934,1908321,33936.0,3659.0,https://www.youtube.com/watch?v=ZqROe_tjjDk
2N8yPkL3Isk,When Never Meets Now | Pastor Steven Furtick | Elevation Church,2022-01-16 23:30:00+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H14M26S,4466,1863752,27667.0,3860.0,https://www.youtube.com/watch?v=2N8yPkL3Isk
vW42hOoNmt0,The Prayer That Repairs | Pastor Steven Furtick | Elevation Church,2025-02-17 00:59:20+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H5M53S,3953,1823119,26301.0,3022.0,https://www.youtube.com/watch?v=vW42hOoNmt0
YaJRYs40-kU,When God Says Let Go | Pastor Steven Furtick | Elevation Church,2025-04-06 20:19:29+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H4M56S,3896,1809544,33733.0,2789.0,https://www.youtube.com/watch?v=YaJRYs40-kU
4JCcFD7GkBU,The Thirst Trap | Seven-Mile Miracle | Pastor Steven Furtick,2017-04-03 15:34:29+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT57M46S,3466,1772019,,667.0,https://www.youtube.com/watch?v=4JCcFD7GkBU
UmQZb-nfQEQ,God Knows You Don’t | Pastor Steven Furtick | Elevation Church,2023-11-19 22:00:20+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT56M20S,3380,1753078,36925.0,2417.0,https://www.youtube.com/watch?v=UmQZb-nfQEQ
yIrjgi2JJ3Y,Reverse Your Worry | Gamechanger | Pastor Steven Furtick,2018-11-12 16:29:53+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT41M24S,2484,1732381,42540.0,1517.0,https://www.youtube.com/watch?v=yIrjgi2JJ3Y
QED4Oqd202c,Focus On The Fruit | I Don’t Know What To Do | Pastor Steven Furtick | Elevation Church,2020-05-03 23:30:04+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H19M5S,4745,1715179,28470.0,7224.0,https://www.youtube.com/watch?v=QED4Oqd202c
0LIEK3lLZl0,Surprise! | Pastor Steven Furtick | Elevation Church,2021-03-14 19:00:00+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H6M29S,3989,1625879,25664.0,2274.0,https://www.youtube.com/watch?v=0LIEK3lLZl0
OVftLWxcDRw,It's Your Door | Pastor Steven Furtick | Elevation Church,2022-07-24 21:48:08+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H6M5S,3965,1605047,47623.0,3041.0,https://www.youtube.com/watch?v=OVftLWxcDRw
RwXqcOMw0ng,The Prison of Offense | The Other Half | Pastor Steven Furtick,2016-08-15 15:33:57+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT48M47S,2927,1603672,,607.0,https://www.youtube.com/watch?v=RwXqcOMw0ng
fHqEIOr290I,Lonely Places | Pastor Steven Furtick | Elevation Church,2020-07-20 00:00:05+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT58M,3480,1541275,35411.0,6318.0,https://www.youtube.com/watch?v=fHqEIOr290I
8jeOejEmiYo,Torn But Trusting | Pastor Steven Furtick | Elevation Church,2022-09-18 21:00:09+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT56M42S,3402,1467402,28573.0,1637.0,https://www.youtube.com/watch?v=8jeOejEmiYo
HquJPN3pHOo,Hand Him The Plan | Pastor Steven Furtick | Elevation Church,2025-08-17 20:33:28+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H1M48S,3708,1432605,15845.0,2431.0,https://www.youtube.com/watch?v=HquJPN3pHOo
G038ky_RwKg,You Must Be Important | Savage Jesus | Pastor Steven Furtick,2018-04-30 15:41:09+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT48M12S,2892,1430667,32667.0,1327.0,https://www.youtube.com/watch?v=G038ky_RwKg
u9gCv-sXm28,Timing Your Testimony | Pastor Steven Furtick | Elevation Church,2021-04-25 19:30:02+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H4M5S,3845,1426776,28195.0,4400.0,https://www.youtube.com/watch?v=u9gCv-sXm28
vd7B0-rlDsA,What Can God Do With Damage? | Pastor Michael Todd | Elevation Church,2023-10-08 21:02:37+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT47M12S,2832,1422473,36836.0,1906.0,https://www.youtube.com/watch?v=vd7B0-rlDsA
YS9fStaTYXU,It’s Always Been In You | Pastor Steven Furtick | Elevation Church,2021-05-02 19:00:06+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT55M7S,3307,1419397,28545.0,2926.0,https://www.youtube.com/watch?v=YS9fStaTYXU
_rIoV9yaUaM,I'm Still Scared | Pastor Steven Furtick | Elevation Church,2020-03-30 00:23:42+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H3M5S,3785,1398633,39089.0,25565.0,https://www.youtube.com/watch?v=_rIoV9yaUaM
tDEvtabsgTg,“Not Now” Is Not “No” | Pastor Steven Furtick | Elevation Church,2024-07-21 22:14:39+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT1H6M9S,3969,1395516,25910.0,939.0,https://www.youtube.com/watch?v=tDEvtabsgTg
Wnp_v83GsAo,Trapped In Transition | Pastor Steven Furtick | Elevation Church,2019-09-30 12:00:12+00:00,UCIQqvZbHSwX0yKNVK1MyYjQ,Elevation Church,PT49M11S,2951,1374197,30449.0,1283.0,https://www.youtube.com/watch?v=Wnp_v83GsAo
